AddedDate,AddedTS,Source,Ticker,Score,Entry,SL,Target,Qty,Risk,Status,ExitPrice,ExitDate
2026-06-09,2026-06-09 14:57:22,Top Opportunities,MAHABANK.NS,79.8,83.89,80.84,89.99,178,543.0,OPEN,,
2026-06-09,2026-06-09 14:58:03,All Strong Buys,APARINDS.NS,75.2,13549.0,12697.64,15251.71,1,851.0,OPEN,,
2026-06-15,2026-06-15 15:30:07,Top Opportunities,ANGELONE.NS,77.7,352.3,333.03,390.84,42,809.0,OPEN,,
2026-06-15,2026-06-15 15:30:10,Top Opportunities,LT.NS,79.3,4166.5,4040.73,4418.05,3,377.0,OPEN,,
2026-06-15,2026-06-15 15:30:39,All Strong Buys,BHARATFORG.NS,77.1,2019.9,1939.22,2181.26,7,565.0,OPEN,,
2026-06-15,2026-06-15 15:30:45,All Strong Buys,UNIVCABLES.NS,76.6,1198.8,1062.03,1472.35,12,1641.0,OPEN,,
